grdc_no	wmo_reg	sub_reg	river	station	country	lat	long	area	altitude	d_start	d_end	d_yrs	d_miss	m_start	m_end	m_yrs	m_miss	t_start	t_end	t_yrs	lta_discharge	r_volume_yr	r_height_yr
1112400	1	1121	FALEME RIVIERE	FADOUGOU	ML	12.31	-11.23	9300	-999	1981	1990	10	70	1952	1990	39	6	1952	1990	39	43.779	1.380614544	148.4531768
1112480	1	1121	BAFING	DAKA SAYDOU	ML	12.15	-10.2	15500	-999	1981	1990	10	72	1952	1990	39	27	1952	1990	39	142.502	4.493943072	289.9318111
1112500	1	1121	BAFING	BAFING MAKANA	ML	12.33	-10.16	21700	-999	1981	1990	10	70	1981	1990	10	70	1981	1990	10	166.238	5.242481568	241.5890124
1134020	1	1341	SANKARANI	GUELELINKORO	ML	11.15	-8.55	23300	-999	1971	1979	9	2	1971	1979	9	2	1971	1979	9	256.975	8.1039636	347.8095966
1134030	1	1341	NIGER, RIVER	BANANKORO	ML	11.6833	-8.6667	71750	329	1967	2001	35	21	1967	1992	26	48	1967	2001	35	808.004	25.48121414	355.1388731
1134040	1	1341	SANKARANI	GOUALA	ML	11.97	-8.23	35300	-999	1954	1990	37	54	1954	1990	37	38	1954	1990	37	314.791	9.927248976	281.2251835
1134050	1	1341	SANKARANI	SELINGUE	ML	11.58	-8.17	34200	-999	1964	1992	29	37	1964	2012	49	46	1964	2012	49	324.946	10.24749706	299.6344168
1134060	1	1341	OUASSOULOU	YANFOLILA	ML	11.13	-8.2	4100	-999	1971	1979	9	54	1971	1979	9	52	1971	1979	9	23.252	0.733275072	178.8475785
1134080	1	1341	BAOULE	MADINA DIASSA	ML	10.8	-7.67	7900	-999	1971	1992	22	50	1971	1992	22	50	1971	1992	22	42.151	1.329273936	168.2625235
1134100	1	1341	NIGER, RIVER	KOULIKORO	ML	12.8667	-7.55	120000	290	1907	2006	100	1	1907	2012	106	16	1907	2012	106	1372.034	43.26846422	360.5705352
1134110	1	1341	BAOULE	BOUGOUNI	ML	11.4	-7.45	15700	-999	1956	1992	37	30	1956	2012	57	52	1956	2012	57	98.869	3.117932784	198.5944448
1134150	1	1341	BANIFING	KOLONDIEBA	ML	11.07	-6.85	3050	-999	1972	1992	21	60	1972	1992	21	59	1972	1992	21	7.169	0.226081584	74.12510951
1134200	1	1341	BAOULE	DIOILA	ML	12.52	-6.8	32500	-999	1953	1992	40	32	1953	1990	38	8	1953	1992	40	164.773	5.196281328	159.8855793
1134220	1	1341	BAGOE	PANKOUROU	ML	11.42	-6.57	31800	-999	1956	1992	37	32	1956	1992	37	3	1956	1992	37	190.462	6.006409632	188.880806
1134250	1	1341	NIGER, RIVER	KIRANGO AVAL	ML	13.7167	-6.05	137000	274	1925	2001	77	34	1925	2012	88	35	1925	2012	88	1313.736	41.4299785	302.4086022
1134300	1	1341	BANI	DOUNA	ML	13.2167	-5.9	101600	270	1922	2001	80	25	1922	2007	86	35	1922	2007	86	435.195	13.72430952	135.0817866
1134310	1	1341	BANIFING	KOUORO 2	ML	12.02	-6.68	14300	-999	1975	1990	16	62	1975	1990	16	62	1975	1990	16	15.584	0.491457024	34.36762406
1134320	1	1341	BANIFING	KOUORO 1	ML	12.02	-6.68	-999	-999	1957	1979	23	61	1957	1979	23	61	1957	1979	23	63.575	2.0049012	n.a.
1134350	1	1341	LOTIO	KLELA	ML	11.68	-5.58	3685	-999	1976	1979	4	33	1976	1979	4	32	1976	1979	4	11.686	0.368529696	100.0080586
1134400	1	1341	NIGER, RIVER	KE-MACINA	ML	13.95	-5.37	141000	-999	1953	1992	40	32	1953	1992	40	33	1953	1992	40	1348.439	42.5243723	301.5912929
1134420	1	1341	DIAKA	KARA	ML	14.17	-5.02	-999	-999	1952	1990	39	41	1952	1990	39	41	1952	1990	39	454.772	14.34168979	n.a.
1134450	1	1341	BANI	BENENY-KEGNY	ML	13.38	-4.92	116000	-999	1951	1992	42	45	1951	2012	62	60	1951	2012	62	529.481	16.69771282	143.9458001
1134460	1	1341	NIGER, RIVER	TILEMBEYA	ML	14.15	-4.98	143300	-999	1922	1992	71	53	1922	1992	71	53	1922	1992	71	876.792	27.65051251	192.9554258
1134480	1	1341	BANI	SOFARA	ML	14.02	-4.25	129000	-999	1952	1992	41	26	1952	1994	43	24	1952	1994	43	368.55	11.6225928	90.0976186
1134500	1	1341	NIGER, RIVER	NANTAKA (MOPTI)	ML	14.53	-4.22	281600	260	1922	2001	80	29	1922	2012	91	47	1922	2012	91	994.606	31.36589482	111.3845697
1134505	1	1341	BANI	MOPTI	ML	14.53	-4.22	-999	-999	1987	1987	1	0	1944	1992	49	0	1944	1992	49	477.534	15.05951222	n.a.
1134600	1	1341	NIGER, RIVER	AKKA	ML	15.4	-4.23	-999	-999	1987	1990	4	50	1987	1990	4	50	1987	1990	4	531.673	16.76683973	n.a.
1134620	1	1341	TASSAKAN	GOUNDAM	ML	16.42	-3.65	-999	-999	1931	1990	60	45	1931	1990	60	44	1931	1990	60	45.704	1.441321344	n.a.
1134630	1	1341	NIGER, RIVER	TONKA	ML	16.13	-3.75	-999	-999	1954	1992	39	59	1954	1992	39	59	1954	1992	39	971.755	30.64526568	n.a.
1134650	1	1341	BARA-ISSA	SARAFERE	ML	15.82	-3.7	-999	-999	1954	1992	39	37	1954	1992	39	37	1954	1992	39	110.715	3.49150824	n.a.
1134700	1	1341	NIGER, RIVER	DIRE	ML	16.2667	-3.3833	340000	256	1924	2003	80	7	1924	2012	89	19	1924	2012	89	1009.784	31.84454822	93.66043595
1134705	1	1341	NIGER, RIVER	DIRE	ML	16.13	-3.22	-999	-999					1924	1988	65	0	1924	1988	65	1011.248	31.89071693	n.a.
1134730	1	1341	NIGER, RIVER	KORYOUME	ML	16.6666	-3.0333	342000	256	1963	2001	39	24	1963	1992	30	62	1963	2001	39	680.158	21.44946269	62.71772716
1134850	1	1341	NIGER, RIVER	TOSSAYE	ML	16.93	-0.58	348000	-999	1954	1992	39	33	1954	1992	39	33	1954	1992	39	1058.956	33.39523642	95.96332303
1134900	1	1341	NIGER, RIVER	ANSONGO	ML	15.6667	0.5	566000	242	1951	2001	51	24	1951	2012	62	37	1951	2012	62	879.883	27.74799029	49.02471782
1147010	1	1471	CONGO RIVER	KINSHASA	CD	-4.3	15.3	3475000	-999	1903	2010	108	0	1903	1983	81	0	1903	2010	108	39863.659	1257.14035	361.7670073
1147011	1	1471	CONGO RIVER	PONTHIERVILLE	CD	-0.35	25.45	948500	413.62	1932	1959	28	64					1932	1959	28	6703.358	211.3970979	222.8751691
1147012	1	1471	CONGO RIVER	KINDU	CD	-2.95	25.916666	810440	419.86	1933	1959	27	62					1933	1959	27	2260.049	71.27290526	87.94346931
1147013	1	1471	CONGO RIVER	KINSHASA-EAST (LEOPOLDVILLE-EST)	CD	-4.136667	15.333333	3747320	272.12	1932	1959	28	63					1932	1959	28	38946.524	1228.217581	327.7589266
1150200	1	1501	KASAI	KUTU-MOKE	CD	-3.183333	17.383333	737640	302.72	1932	1959	28	64					1932	1959	28	8335.911	262.8812893	356.3815537
1150201	1	1501	KASAI	PORT-FRANCQUI	CD	-4.333333	20.583333	232560	365.02	1932	1959	28	64					1932	1959	28	2102.853	66.31557221	285.1546793
1159100	1	1591	ORANGE RIVER	VIOOLSDRIF (27811003)	ZA	-28.757778	17.721389	866486	152	1935	2020	86	3	1935	2001	67	2	1935	2020	86	243.994	7.694594784	8.880229783
1159103	1	1591	ORANGE RIVER	PELLA MISSION	ZA	-28.96340283	19.15192169	859920	-999	1979	2020	42	6					1979	2020	42	115.92	3.65565312	4.251154898
1159105	1	1591	ORANGE RIVER	SENDELINGSDRIF	ZA	-28.07583	16.89833	985370	-999	2014	2020	7	0					2014	2020	7	35.85	1.1305656	1.14735135
1159110	1	1591	VISRIVIER-OOS	HARDEHEUWEL (27814003)	ZA	-31.806667	20.357778	1502	1077	1927	2020	94	0					1927	2020	94	0.561	0.017691696	11.77875899
1159120	1	1591	RENOSTERRIVIER	BONEKRAAL (27814011)	ZA	-31.815278	20.578056	1679	1140	1963	2020	58	11					1963	2020	58	0.226	0.007127136	4.244869565
1159125	1	1591	RENOSTERRIVIER	LEEUWENKUIL	ZA	-31.43716033	20.47416897	8938	-999	1987	2020	34	17					1987	2020	34	0.503	0.015862608	1.774737973
1159130	1	1591	SAK	HOL PADS LEEGTE (27814016)	ZA	-30.474444	20.519167	40073	919	1973	2020	48	2					1973	2020	48	1.88	0.05928768	1.479491927
1159131	1	1591	SAK	WINDHOEK (27814013)	ZA	-31.366111	21.322222	13116	1093	1958	1998	41	7					1958	1998	41	1.046	0.032986656	2.514993596
1159290	1	1591	ORANGE RIVER	KAKAMAS SOUTH NEUSBERG	ZA	-28.77466011	20.72242939	366070	-999	1993	2020	28	1					1993	2020	28	151.282	4.770829152	13.03255976
1159300	1	1591	ORANGE RIVER	UPINGTON	ZA	-28.457778	21.239167	364560	-999	1942	2020	79	3	1942	2001	60	1	1942	2020	79	205.928	6.494145408	17.81365319
1159301	1	1591	ORANGE RIVER	PRIESKA (27815102)	ZA	-29.651667	22.745833	339310	947	1959	2020	62	7					1959	2020	62	170.439	5.374964304	15.84086618
1159302	1	1591	ORANGE RIVER	MARKSDRIFT (27815208)	ZA	-29.161944	23.695833	99316	997	1962	2020	59	9					1962	2020	59	140.127	4.419045072	44.49479512
1159303	1	1591	ORANGE RIVER	VLUYTJESKRAAL (27815205)	ZA	-29.814722	24.4375	92346	1095	1922	1989	68	7					1922	1989	68	38.433	1.212023088	13.12480333
1159304	1	1591	ORANGE RIVER	IRENE	ZA	-29.1828515	23.57510692	296170	-999	1989	2020	32	33					1989	2020	32	178.225	5.6205036	18.97728872
1159305	1	1591	SEEKOEIRIVIER	DE EERSTEPOORT	ZA	-30.53472222	24.9625	8266	-999	1980	2020	41	0					1980	2020	41	0.43	0.01356048	1.640512945
1159310	1	1591	RENOSTERSPRUIT	SHANNON VALLEY (27817207)	ZA	-29.144167	26.318056	348	1350	1923	2020	98	7					1923	2020	98	0.235	0.00741096	21.29586207
1159320	1	1591	RIET	KROMDRAAI (27817212)	ZA	-29.658056	25.972778	2381	1319	1954	2020	67	6					1954	2020	67	0.818	0.025796448	10.83429147
1159321	1	1591	RIET	RIVIERA (27817208)	ZA	-29.8125	26.2117	596	1392	1931	1986	56	9					1931	1986	56	0.366	0.011542176	19.36606711
1159325	1	1591	OSPOORTSPRUIT	OS POORT (27817209)	ZA	-29.9025	26.214444	191	1417	1931	1986	56	2					1931	1986	56	0.018	0.000567648	2.971979058
1159330	1	1591	RIET	KLIPDRIFT	ZA	-29.0425	24.59916667	31233	-999	1989	2020	32	0					1989	2020	32	5.905	0.18622008	5.962286044
1159333	1	1591	MODDER	LIKATLONG	ZA	-29.16083333	26.57222222	1650	-999	1918	2020	103	37					1918	2020	103	0.998	0.031472928	19.07450182
1159335	1	1591	MODDER	TWEERIVIERE	ZA	-29.02861111	24.63833333	17313	-999	1989	2020	32	4					1989	2020	32	1.622	0.051151392	2.954507711
1159337	1	1591	MODDER	GLEN	ZA	-28.94861111	26.32111111	4542	-999	1999	2020	22	4					1999	2020	22	3.482	0.109808352	24.17621136
1159400	1	1591	HARTS	TAUNG (27817303)	ZA	-27.573333	24.745833	11044	1091	1923	2020	98	2					1923	2020	98	1.172	0.036960192	3.346630931
1159403	1	1591	HARTS	ESPAGSDRIF	ZA	-27.90320789	24.61514311	23900	-999	1951	2020	70	4					1951	2020	70	4.514	0.142353504	5.956213556
1159405	1	1591	HARTS	LLOYDS	ZA	-28.38651139	24.29707622	30810	-999	1994	2020	27	16					1994	2020	27	1.138	0.035887968	1.164815579
1159410	1	1591	VETRIVIER	FLOORSDRIFT (27817502)	ZA	-27.840278	25.904444	17754	1237	1935	1972	38	2					1935	1972	38	10.091	0.318229776	17.92439878
1159413	1	1591	VETRIVIER	FIZANTKRAAL	ZA	-27.935	26.12444444	16153	-999	1968	2020	53	4					1968	2020	53	6.102	0.192432672	11.91312276
1159415	1	1591	VETRIVIER	VAALKOPPIES	ZA	-28.14444444	26.41805556	6994	-999	2003	2019	17	5					2003	2019	17	8.658	0.273038688	39.03898885
1159417	1	1591	SANDRIVIER	BLOUDRIF	ZA	-28.11722222	26.71916667	7092	-999	1995	2020	26	27					1995	2020	26	2.459	0.077547024	10.93443655
1159419	1	1591	DORINGRIVIER	MOND VAN DOORN RIVER	ZA	-28.11666667	26.72527778	586.3	-999	1996	2018	23	11					1996	2018	23	0.308	0.009713088	16.56675422
1159450	1	1591	VAAL RIVER	SCHMIDTSDRIF	ZA	-28.71149156	24.07290156	157830	-999	1995	2020	26	13					1995	2020	26	33.181	1.046396016	6.629893024
1159490	1	1591	VAAL RIVER	DE HOOP 65	ZA	-28.51622689	24.60069589	121220	-999	1968	2020	53	4					1968	2020	53	40.614	1.280803104	10.56593882
1159500	1	1591	VAAL RIVER	DE HOOP 65	ZA	-28.498889	24.603056	120982	-999	1909	2001	93	2	1909	1986	78	31	1909	2001	93	1.137	0.035856432	0.296378238
1159510	1	1591	VALSRIVIER	GROOTDRAAI (27817602)	ZA	-27.398333	26.613056	7801	1259	1950	2019	70	71					1950	2019	70	0.601	0.018953136	2.429577746
1159511	1	1591	VALSRIVIER	MOOIFONTEIN (27817603)	ZA	-27.399722	26.625556	7794	1259	1967	2010	44	1					1967	2010	44	3.683	0.116147088	14.90211547
1159512	1	1591	VALSRIVIER	KLIPFONTEIN (27817604)	ZA	-27.935556	27.996389	863	1530	1964	1988	25	7					1964	1988	25	0.232	0.007316352	8.477812283
1159513	1	1591	VALSRIVIER	KROONSTAD	ZA	-27.67138889	27.23694444	3289	-999	1994	2020	27	4					1994	2020	27	3.303	0.104163408	31.67023655
1159520	1	1591	HEUNINGSPRUIT	DANKBAAR (27817703)	ZA	-27.355833	27.285556	905	1357	1947	2020	74	1					1947	2020	74	0.436	0.013749696	15.19303425
1159525	1	1591	RENOSTERRIVIER	ARRIESRUST	ZA	-27.04628	27.00464	5758	-999	1978	2020	43	2					1978	2020	43	3.196	0.100789056	17.50417784
1159530	1	1591	LEEWDORINGSPRUIT	KLIPSPRUIT (27817465)	ZA	-27.37	26.350556	867	1249	1970	2008	39	1					1970	2008	39	0.161	0.005077296	5.85616609
1159535	1	1591	VAAL RIVER	KLIPPLAATDRIFT	ZA	-27.38972222	26.46388889	79903	-999	1972	2020	49	0					1972	2020	49	61.828	1.949807808	24.40218525
1159540	1	1591	SANDSPRUIT	LEEGTE (27817467)	ZA	-27.560556	26.233333	1895	1240	1971	2004	34	2					1971	2004	34	0.068	0.002144448	1.131634828
1159545	1	1591	VAAL RIVER	PILGRIMS ESTATE	ZA	-27.01011	26.69808	63437	-999	1979	2019	41	2					1979	2019	41	52.333	1.650373488	26.01594476
1159546	1	1591	KOEKEMOERSPRUIT	BUFFELSFONTEIN	ZA	-26.91606	26.81722	818	-999	1996	2018	23	9					1996	2018	23	0.187	0.005897232	7.209330073
1159547	1	1591	MOOIRIVIER	HOOGEKRAAL	ZA	-26.8805	26.96428	-999	-999	1986	2019	34	10					1986	2019	34	2.189	0.069032304	n.a.
1159548	1	1591	MOOIRIVIER	WITRAND	ZA	-26.64428	27.09033	3595	-999	1904	2020	117	1					1904	2020	117	1.574	0.049637664	13.80741697
1159549	1	1591	MOOIRIVIERLOOP	BLAAUWBANK	ZA	-26.37022	27.24811	1511	-999	1971	2020	50	5					1971	2020	50	0.478	0.015074208	9.976312376
1159550	1	1591	VAAL RIVER	DE VAAL	ZA	-26.97056	27.20967	49120	-999	1938	2020	83	3					1938	2020	83	54.383	1.715022288	34.91494886
1159555	1	1591	VAAL RIVER	WOODLANDS	ZA	-26.73828	27.59197	47222	-999	1996	2020	25	19					1996	2020	25	50.472	1.591684992	33.70642904
1159560	1	1591	RIETSPRUIT	KAALPLAATS	ZA	-26.72867	27.718	1121	-999	1952	2019	68	13					1952	2019	68	1.359	0.042857424	38.23142194
1159570	1	1591	KLIPRIVIER	KOOKFONTEIN	ZA	-26.61994444	27.98052778	2205	-999	2009	2017	9	37					2009	2017	9	15.869	0.500444784	226.9590857
1159580	1	1591	SUIKERBOSRANTRIVIER	UITVLUGT	ZA	-26.67075	28.03044	3474	-999	1952	2017	66	31					1952	2017	66	4.129	0.130212144	37.48190674
1159600	1	1591	STROMBERGSPRUIT	DIEP KLOOF	ZA	-31.04	26.34	2400	-999	1977	1981	5	2	1977	1981	5	2	1977	1981	5	0.153	0.004825008	2.01042
1159601	1	1591	WONDERBOOMSPRUIT	DIEPKLOOF (27819101)	ZA	-31.000833	26.353056	2397	1376	1912	2020	109	2	1912	2001	90	18	1912	2020	109	1.104	0.034815744	14.52471589
1159650	1	1591	ORANGE RIVER	ALIWAL NOORD (27819103)	ZA	-30.678056	26.716389	37070	1298	1914	2020	107	1	1915	2001	87	0	1914	2020	107	139.662	4.404380832	118.8125393
1159651	1	1591	ORANGE RIVER	ORANJEDRAAI (27819109)	ZA	-30.336389	27.358333	24745	1394	1960	2020	61	3					1960	2020	61	120.987	3.815446032	154.1905852
1159653	1	1591	KORNETSPRUIT	MAGHALEEN	ZA	-30.15972222	27.40138889	2990	-999	1948	2020	73	13					1948	2020	73	18.377	0.579537072	193.8251077
1159655	1	1591	ORANGE RIVER	LESOTHO - MANTILANE	ZA	-30.06186111	28.50975	10735	-999	1987	2019	33	2					1987	2019	33	43.904	1.384556544	128.975924
1159660	1	1591	KRAAIRIVIER	ROODEWAL (27819111)	ZA	-30.830556	26.920556	8689	1320	1965	2020	56	5					1965	2020	56	20.308	0.640433088	73.70619036
1159670	1	1591	LITTLE CALEDON RIVER	THE POPLARS (27818012)	ZA	-28.694722	28.234722	522	-999	1968	2020	53	2					1968	2020	53	0.961	0.030306096	58.05765517
1159673	1	1591	CALEDON RIVER	FICKSBURG	ZA	-28.88388889	27.88944444	3857	-999	1991	2020	30	7					1991	2020	30	15.57	0.49101552	127.305035
1159675	1	1591	CALEDON RIVER	WILGERDRAAI	ZA	-29.61666667	27.06555556	12852	-999	1988	2020	33	7					1988	2020	33	29.569	0.932487984	72.55586555
1159800	1	1591	VAAL RIVER	ELANDSFONTEIN ENGELBRECHTSDRIFT	ZA	-26.820222	28.063306	38564	-999	1915	1993	79	11	1915	1993	79	10	1915	1993	79	47.538	1.499158368	38.87455575
1159805	1	1591	WILGERIVIER	FRANKFORT	ZA	-27.27166667	28.49111111	15673	-999	1913	2020	108	2					1913	2020	108	25.631	0.808299216	51.57271843
1159810	1	1591	WILGERIVIER	SLABBERTS (27817822)	ZA	-27.298333	28.495556	15522	1498	1961	2008	48	5					1961	2008	48	30.023	0.946805328	60.99763742
1159811	1	1591	LIEBENBERGSVLEIRIVIER	FREDERIKSDAL	ZA	-27.43083333	28.52638889	4650	-999	1985	2020	36	8					1985	2020	36	20.552	0.648127872	139.3823381
1159813	1	1591	WILGERIVIER	BALLINGTOMP	ZA	-27.30138889	28.58555556	10489	-999	1985	2020	36	2					1985	2020	36	24.514	0.773073504	73.70326094
1159815	1	1591	WILGERIVIER	BAVARIA	ZA	-27.80277778	28.7675	7497	-999	1988	2020	33	10					1988	2020	33	18.71	0.59003856	78.70328932
1159820	1	1591	CORNELISRIVIER	C8H003 (27817803)	ZA	-27.847778	28.945	864	1091	1954	2020	67	7					1954	2020	67	1.226	0.038663136	44.749
1159825	1	1591	VAALBANKSPRUIT	VOORSPOED (27817812)	ZA	-28.085	28.836667	393	1597	1971	2020	50	2					1971	2020	50	0.381	0.012015216	30.5730687
1159830	1	1591	ELANDSRIVIER	C8H005 (27817805)	ZA	-28.375556	28.861667	690	-999	1963	2020	58	6					1963	2020	58	3.152	0.099401472	144.0601043
1159850	1	1591	RIETFONTEINSPRUIT	RIETFONTEIN (27817428)	ZA	-26.248056	27.589444	32	1602	1957	1993	37	0					1957	1993	37	0.026	0.000819936	25.623
1159855	1	1591	KOCKSOORTDSPRUIT	MIDDELVLEI (27817427)	ZA	-26.233611	27.651944	5	1630	1957	1992	36	2					1957	1992	36	0.002	0.000063072	12.6144
1159860	1	1591	MIDDELVLEISPRUIT	MIDDELVLEI (27817426)	ZA	-26.232778	27.668611	26	1614	1957	1996	40	13					1957	1996	40	0.011	0.000346896	13.34215385
1159880	1	1591	VAAL RIVER	NOOITGEDACHT	ZA	-27.00231	28.76528	15500	-999	1985	2020	36	3					1985	2020	36	25.819	0.814227984	52.53083768
1159890	1	1591	VAAL RIVER	GOEDGELUK	ZA	-26.84108	29.72336	4686	-999	1972	2020	49	2					1972	2020	49	11.439	0.360740304	76.98256594
1159900	1	1591	KLIPRIVIER	DELANGESDRIFT	ZA	-27.169444	29.233056	4152	-999	1906	2019	114	5	1906	2001	96	3	1906	2019	114	5.345	0.16855992	40.59728324
1159910	1	1591	WATERVALRIVIER	ELANDSLAAGTE (27817908)	ZA	-26.861389	28.884444	2239	1520	1973	2020	48	5					1973	2020	48	3.584	0.113025024	50.48013577
1160091	1	1606	OLIFANTS	CITRUSDAL	ZA	-32.59638889	19.00833333	908	-999	1992	2020	29	2					1992	2020	29	19.808	0.624665088	687.9571454
1160095	1	1606	OLIFANTS	VISGAT	ZA	-33.08883333	19.21877778	121	-999	2011	2020	10	0					2011	2020	10	1.365	0.04304664	355.7573554
1160100	1	1600	RIVIERSONDEREND	DWARSHOEK (27694403)	ZA	-34.0775	19.29	502	307	1932	1974	43	6					1932	1974	43	5.608	0.176853888	352.2985817
1160101	1	1600	RIVIERSONDEREND	SWARTE WATER (27694408)	ZA	-34.062222	19.072222	39	380	1964	1992	29	1					1964	1992	29	1.937	0.061085232	1566.288
1160102	1	1600	RIVIERSONDEREND	REENEN	ZA	-34.07888889	20.14416667	2008	-999	1964	2019	56	1					1964	2019	56	9.45	0.2980152	148.4139442
1160110	1	1609	JAKKALSRIVIER	LEBANON FOREST RES. (27711209)	ZA	-34.166111	19.1325	2	467	1964	1992	29	0					1964	1992	29	0.012	0.000378432	189.216
1160111	1	1609	KLEIN-JAKKALSRIVIER	LEBANON FOREST RES. (27711208)	ZA	-34.153611	19.135556	1	754	1964	1992	29	1					1964	1992	29	0.023	0.000725328	725.328
1160113	1	1609	PALMIETRIVIER	FARM 562-WELGEMOED	ZA	-34.32944444	18.98833333	464	-999	1963	2019	57	0					1963	2019	57	6.515	0.20545704	442.7953448
1160115	1	1609	KLEINRIVIER	HAGEDISBERG OUTSPAN (27711206)	ZA	-34.405278	19.595833	599	55	1963	2019	57	1					1963	2019	57	0.97	0.03058992	51.06831386
1160120	1	1600	SOUTRIVIER	KYKOEDY (27711108)	ZA	-34.291667	20.022778	381	140	1964	2019	56	0					1964	2019	56	0.137	0.004320432	11.33971654
1160200	1	1609	SWART-DORINGRIVIER	BRUINTJIESHOOGTE (27713201)	ZA	-30.823889	18.1175	2351	175	1967	2020	54	7	1967	2001	35	9	1967	2020	54	0.024	0.000756864	0.321932795
1160210	1	1609	JONKERSHOEKRIVIER	JONKERSHOEK (27711308)	ZA	-33.986389	18.955556	20	299	1947	1995	49	3					1947	1995	49	0.994	0.031346784	1567.3392
1160220	1	1606	LEEURIVIER	LEEUW (27712207)	ZA	-32.780278	19.283056	267	837	1970	2020	51	7	1970	2001	32	7	1970	2020	51	1.429	0.045064944	168.7825618
1160230	1	1606	JAN DISSELSRIVIER	CLANWILLIAM (27712306)	ZA	-32.211667	18.936667	163	116	1971	2020	50	10					1971	2020	50	1.336	0.042132096	258.4791166
1160235	1	1606	DORINGRIVIER	MELKBOOM	ZA	-31.8625	18.68639	24044	-999	1927	2020	94	1					1927	2020	94	11.727	0.369822672	15.38107935
1160240	1	1609	KLEIN-BERGRIVIER	MOUNTAIN VIEW (27711421)	ZA	-33.184722	19.155278	19	345	1968	2020	53	7					1968	2020	53	0.461	0.014538096	765.1629474
1160245	1	1609	VIER-EN-TWINTIG-RIVIERE	DRI-DAS-BOSCH (27711428)	ZA	-33.134444	19.060556	183	130	1972	2020	49	2					1972	2020	49	2.806	0.088490016	483.552
1160250	1	1609	DIEPRIVIER	MALMESBURY (27711312)	ZA	-33.463889	18.740278	246	117	1965	2020	56	0					1965	2020	56	0.311	0.009807696	39.86868293
